Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*,
Enamel,Decolite 500ml Enamel Black Matt,Decolite 500ml Enamel Black Matt,Decolite 500ml Enamel Black Matt,0,0,QD primer,
Enamel,Decolite 200ml Enamel Black Matt,Decolite 200ml Enamel Black Matt,Decolite 200ml Enamel Black Matt,0,0,QD primer,
Nature,Nature QD Primer Red 1L,Nature QD Primer Red 1L,Nature QD Primer Red 1L,0,0,QD primer,
Nature,Nature QD Primer Red 500ml,Nature QD Primer Red 500ml,Nature QD Primer Red 500ml,0,0,QD primer,
Nature,Nature QD Primer Red 200ml,Nature QD Primer Red 200ml,Nature QD Primer Red 200ml,0,0,QD primer,
Nature,Nature QD Primer Black 500ml,Nature QD Primer Black 500ml,Nature QD Primer Black 500ml,0,0,QD primer,
Nature,Nature QD Primer Black 200ml,Nature QD Primer Black 200ml,Nature QD Primer Black 200ml,0,0,QD primer,
Enamel,Robbialac Enamel Smoke Grey 500ml,Robbialac Enamel Smoke Grey 500ml,Robbialac Enamel Smoke Grey 500ml,0,0,QD primer,
Enamel,Decolite 1Ltr Enamel B/W,Decolite 1Ltr Enamel B/W,Decolite 1Ltr Enamel B/W,0,0,Enamel,
Enamel,Decolite 500ml Enamel B/W,Decolite 500ml Enamel B/W,Decolite 500ml Enamel B/W,0,0,Enamel,
Enamel,Decolite 200ml Enamel B/W,Decolite 200ml Enamel B/W,Decolite 200ml Enamel B/W,0,0,Enamel,
Enamel,Decolite 1Ltr Enamel Maroon,Decolite 1Ltr Enamel Maroon,Decolite 1Ltr Enamel Maroon,0,0,Enamel,
Enamel,Decolite 500ml Enamel Maroon,Decolite 500ml Enamel Maroon,Decolite 500ml Enamel Maroon,0,0,Enamel,
Enamel,Decolite 200ml Enamel Maroon,Decolite 200ml Enamel Maroon,Decolite 200ml Enamel Maroon,0,0,Enamel,
Enamel,Decolite 1Ltr Enamel Golden Brown,Decolite 1Ltr Enamel Golden Brown,Decolite 1Ltr Enamel Golden Brown,0,0,Enamel,
Enamel,Decolite 500ml Enamel Golden Brown,Decolite 500ml Enamel Golden Brown,Decolite 500ml Enamel Golden Brown,0,0,Enamel,
Enamel,Decolite 500ml Enamel  Black ,Decolite 500ml Enamel  Black ,Decolite 500ml Enamel  Black ,0,0,Enamel,
Enamel,Decolite 200ml Enamel Black ,Decolite 200ml Enamel Black ,Decolite 200ml Enamel Black ,0,0,Enamel,
Enamel,Decolite 1L Enamel Black,Decolite 1L Enamel Black,Decolite 1L Enamel Black,0,0,Enamel,
Enamel,Decolite 200ml Enamel Antique Brown,Decolite 200ml Enamel Antique Brown,Decolite 200ml Enamel Antique Brown,0,0,Enamel,
Enamel,Decolite 500ml enamel steel grey,Decolite 500ml enamel steel grey,Decolite 500ml enamel steel grey,0,0,Enamel,
Enamel,Decolite 200ml enamel steel grey,Decolite 200ml enamel steel grey,Decolite 200ml enamel steel grey,0,0,Enamel,
Enamel,Decolite 1Ltr Enamel Antique Brown,Decolite 1Ltr Enamel Antique Brown,Decolite 1Ltr Enamel Antique Brown,0,0,Enamel,
Enamel,Decolite 500ml Enamel Antique Brown,Decolite 500ml Enamel Antique Brown,Decolite 500ml Enamel Antique Brown,0,0,Enamel,
Enamel,Decolite 200ml Enamel Golden Brown,Decolite 200ml Enamel Golden Brown,Decolite 200ml Enamel Golden Brown,0,0,Enamel,
Decolite,Decolite 500ml Black Matt,Decolite 500ml Black Matt,Decolite 500ml Black Matt,0,0,Enamel,
Nature,Nature Bright Aluminium 200ml,Nature Bright Aluminium 200ml,Nature Bright Aluminium 200ml,0,0,Enamel,
Enamel,Robbialac Enamel Post Red 1L,Robbialac Enamel Post Red 1L,Robbialac Enamel Post Red 1L,0,0,Enamel,
Enamel,Robbialac Antique Brown 200ml,Robbialac Antique Brown 200ml,Robbialac Antique Brown 200ml,0,0,Enamel,
Enamel,Robbialac Enamel Regatta Blue 200ml,Robbialac Enamel Regatta Blue 200ml,Robbialac Enamel Regatta Blue 200ml,0,0,Enamel,
Enamel,Robbialac Antique Brown 500ml,Robbialac Antique Brown 500ml,Robbialac Antique Brown 500ml,0,0,Enamel,
Enamel,Robbialac Enamel Regatta Blue 500ml,Robbialac Enamel Regatta Blue 500ml,Robbialac Enamel Regatta Blue 500ml,0,0,Enamel,
Enamel,Robbialac Antique Brown 1L,Robbialac Antique Brown 1L,Robbialac Antique Brown 1L,0,0,Enamel,
Enamel,Robbialac Enamel Regatta Blue 1L,Robbialac Enamel Regatta Blue 1L,Robbialac Enamel Regatta Blue 1L,0,0,Enamel,
Enamel,Robbialac Enamel dark Green 200ml,Robbialac Enamel dark Green 200ml,Robbialac Enamel dark Green 200ml,0,0,Enamel,
Enamel,Robbialac Golden Yellow 200ml,Robbialac Golden Yellow 200ml,Robbialac Golden Yellow 200ml,0,0,Enamel,
Enamel,Robbialac Enamel dark Green 500ml,Robbialac Enamel dark Green 500ml,Robbialac Enamel dark Green 500ml,0,0,Enamel,
Enamel,Robbialac Golden Yellow 500ml,Robbialac Golden Yellow 500ml,Robbialac Golden Yellow 500ml,0,0,Enamel,
Enamel,Robbialac Enamel dark Green 1L,Robbialac Enamel dark Green 1L,Robbialac Enamel dark Green 1L,0,0,Enamel,
Enamel,Robbialac Enamel Smoke Grey 200ml,Robbialac Enamel Smoke Grey 200ml,Robbialac Enamel Smoke Grey 200ml,0,0,Enamel,
Enamel,Robbialac Golden Yellow 1L,Robbialac Golden Yellow 1L,Robbialac Golden Yellow 1L,0,0,Enamel,
Enamel,Robbialac Black 200ml,Robbialac Black 200ml,Robbialac Black 200ml,0,0,Enamel,
Enamel,Robbialac Enamel Smoke Grey 1L,Robbialac Enamel Smoke Grey 1L,Robbialac Enamel Smoke Grey 1L,0,0,Enamel,
Enamel,Robbialac Black 500ml,Robbialac Black 500ml,Robbialac Black 500ml,0,0,Enamel,
Enamel,Robbialac Enamel Maroon 200L,Robbialac Enamel Maroon 200L,Robbialac Enamel Maroon 200L,0,0,Enamel,
Enamel,Robbialac Enamel Maroon 500ml,Robbialac Enamel Maroon 500ml,Robbialac Enamel Maroon 500ml,0,0,Enamel,
Enamel,Robbialac Black  1L,Robbialac Black  1L,Robbialac Black  1L,0,0,Enamel,
Enamel,Robbialac Enamel Maroon 1L,Robbialac Enamel Maroon 1L,Robbialac Enamel Maroon 1L,0,0,Enamel,
Enamel,Robbialac Golden Brown 200ml,Robbialac Golden Brown 200ml,Robbialac Golden Brown 200ml,0,0,Enamel,
Enamel,Robbialac Enamel B/W 200ml,Robbialac Enamel B/W 200ml,Robbialac Enamel B/W 200ml,0,0,Enamel,
Enamel,Robbialac Golden  Brown 500ml,Robbialac Golden  Brown 500ml,Robbialac Golden  Brown 500ml,0,0,Enamel,
Enamel,Robbialac Golden Brown 1L,Robbialac Golden Brown 1L,Robbialac Golden Brown 1L,0,0,Enamel,
Enamel,Robbialac Post Red 200ml,Robbialac Post Red 200ml,Robbialac Post Red 200ml,0,0,Enamel,
Enamel,Robbialac Enamel B/W 500ml,Robbialac Enamel B/W 500ml,Robbialac Enamel B/W 500ml,0,0,Enamel,
Enamel,Robbialac Post Red 500ml,Robbialac Post Red 500ml,Robbialac Post Red 500ml,0,0,Enamel,
Enamel,Robbialac Enamel B/W 1L,Robbialac Enamel B/W 1L,Robbialac Enamel B/W 1L,0,0,Enamel,
Enamel,Robbialac Post Red 1L,Robbialac Post Red 1L,Robbialac Post Red 1L,0,0,Enamel,
Enamel,Robbialac E. Pink  200ml,Robbialac E. Pink  200ml,Robbialac E. Pink  200ml,0,0,Enamel,
Enamel,Robbialac E. Pink  500ml ,Robbialac E. Pink  500ml ,Robbialac E. Pink  500ml ,0,0,Enamel,
Enamel,Robbialac E. Pink  1L,Robbialac E. Pink  1L,Robbialac E. Pink  1L,0,0,Enamel,
Enamel,Robbialac E. Pink  1L,Robbialac E. Pink  1L,Robbialac E. Pink  1L,0,0,Enamel,
Enamel,Robbialac Jesmine Yellow 200ml,Robbialac Jesmine Yellow 200ml,Robbialac Jesmine Yellow 200ml,0,0,Enamel,
Enamel,Robbialac Enamel Dark Grey 200ml,Robbialac Enamel Dark Grey 200ml,Robbialac Enamel Dark Grey 200ml,0,0,Enamel,
Enamel,Robbialac Jesmine Yellow 500ml,Robbialac Jesmine Yellow 500ml,Robbialac Jesmine Yellow 500ml,0,0,Enamel,
Enamel,Robbialac Enamel Dark Grey 500ml,Robbialac Enamel Dark Grey 500ml,Robbialac Enamel Dark Grey 500ml,0,0,Enamel,
Enamel,Robbialac Enamel Dark Grey 1L,Robbialac Enamel Dark Grey 1L,Robbialac Enamel Dark Grey 1L,0,0,Enamel,
Enamel,Robbialac Enamel Sky Blue 200ml,Robbialac Enamel Sky Blue 200ml,Robbialac Enamel Sky Blue 200ml,0,0,Enamel,
Enamel,Robbialac Jesmine Yellow 1L,Robbialac Jesmine Yellow 1L,Robbialac Jesmine Yellow 1L,0,0,Enamel,
Enamel,Robbialac Enamel Sky Blue 500ml,Robbialac Enamel Sky Blue 500ml,Robbialac Enamel Sky Blue 500ml,0,0,Enamel,
Enamel,Robbialac Cool Lemon 200ml,Robbialac Cool Lemon 200ml,Robbialac Cool Lemon 200ml,0,0,Enamel,
Enamel,Robbialac Enamel Sky Blue 1L,Robbialac Enamel Sky Blue 1L,Robbialac Enamel Sky Blue 1L,0,0,Enamel,
Enamel,Robbialac Cool Lemon 500ml,Robbialac Cool Lemon 500ml,Robbialac Cool Lemon 500ml,0,0,Enamel,
Enamel,Robbialac Cool Lemon 1L,Robbialac Cool Lemon 1L,Robbialac Cool Lemon 1L,0,0,Enamel,
Enamel,Robbialac Butter Milk 200ml,Robbialac Butter Milk 200ml,Robbialac Butter Milk 200ml,0,0,Enamel,
Enamel,Robbialac Butter Milk 500ml,Robbialac Butter Milk 500ml,Robbialac Butter Milk 500ml,0,0,Enamel,
Enamel,Robbialac Butter Milk 1L,Robbialac Butter Milk 1L,Robbialac Butter Milk 1L,0,0,Enamel,
Nature,Nature Wood & Metal primer 1L,Nature Wood & Metal primer 1L,Nature Wood & Metal primer 1L,0,0,Wood and metal primer,
Nature,Nature Wood & Metal primer 500ml,Nature Wood & Metal primer 500ml,Nature Wood & Metal primer 500ml,0,0,Wood and metal primer,
Nature,Nature Wood & Metal primer 200ml,Nature Wood & Metal primer 200ml,Nature Wood & Metal primer 200ml,0,0,Wood and metal primer,
Roller brush,Halls Roller brush,Halls Roller brush,Halls Roller brush,0,0,Brush,
paint brush ,"1/2 paint brush Easy""","1/2 paint brush Easy""","1/2 paint brush Easy""",0,0,Brush,
paint brush ,"1 paint brush Easy""","1 paint brush Easy""","1 paint brush Easy""",0,0,Brush,
