Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
8000500167113,Ferrero Roacher 30,,,5200,6800,Chocolates
8000500009673,Ferrero Roacher 24,,,4400,5600,Chocolates
8000500359884,Ferrero Roacher 90G - White,,,1350,1800,Chocolates
8000500359488,Ferrero Roacher 90G - Milk,,,1350,1800,Chocolates
8000500447833,Ferrero Roacher 90G - Macadamia,,,1350,1800,Chocolates
8000500359815,Ferrero Roacher 90G - Dark,,,1350,1800,Chocolates
8000500310427,Nutella Biscuit 300G,,,2300,3700,Chocolates
,Eye Ball Bottles,,,60,100,Chocolates
5900951311505,SNICKERS 50G,,,320,450,Chocolates
5900951311321,Mars 50G,,,300,400,Chocolates
3800020491478,KitKat 90g - Double Choco,,,1300,1800,Chocolates
3800020491461,KitKat 90g - Hazelnut,,,1300,1800,Chocolates
6294003539153,KitKat 2 Bar UAE - MILK,,,69,200,Chocolates
8901058903164,KitKat 4 Bar - Indian Milk,,,280,350,Chocolates
8445290728791,KIT KAT CEREAL ,,,3200,3900,Chocolates
6221134031560,Twix 50g - 3 Pack,,,680,990,Chocolates
5000159557658,Twix 50g ,,,300,400,Chocolates
5000159556903,Twix 50g - Salted Caramel,,,300,400,Chocolates
8992760221028,Oreo Original 110G,,,480,650,Chocolates
8992760223015,Oreo Chocolate 110G,,,480,650,Chocolates
,Rapinda,,,5650,60,Chocolates
,Kopiko ,,,1400,20,Chocolates
4056489798071,BELLAROM CAPPUCHINO 250G,,,2200,3300,Chocolates
4056489798064,GINSENG E CAFÉ,,,1900,2900,Chocolates
4056489926016,LORD NELSON CAMOMILLA TEA ,,,700,1100,Chocolates
8000500269169,KINDER CARDS,,,300,420,Chocolates
80052760,KINDER BUENO ,,,400,550,Chocolates
8000500434123,KINDER CRISPY,,,420,600,Chocolates
80052586,KINDER HAPPY HIPPO,,,300,420,Chocolates
8000500071083,KINDER CLOCCOLATO,,,116,180,Chocolates
8000500267103,Kinder Delice,,,200,400,Chocolates
7622210635396,MILKA CHOCO BROWNIE,,,1450,1850,Chocolates
7622300292508,MILKA CHOCO WAFER,,,1450,2200,Chocolates
7622300344757,MILKA CHOCO WAFER WHITE,,,1450,2200,Chocolates
7622210406354,MILKA CHOCO STICKS,,,,1950,Chocolates
5410126006360,LOTUS BISCOFF,,,900,1280,Chocolates
7622202261442,MILKA HAZELNUT 250G,,,2200,2950,Chocolates
7622210293381,MILKA OREO 250G,,,2200,2950,Chocolates
6281007042765,ALMARAI CREAM CHEESE,,,1900,2700,Chocolates
,Batook Chewing Gum  - Small,,,16,30,Chocolates
,Batook Chewing Gum Banana ,,,37.5,100,Chocolates
,Batook Chewing Gum Lemon  ,,,37.5,100,Chocolates
,Batook Chewing Gum Strawberry ,,,37.5,100,Chocolates
,Batook Chewing Gum Cherry ,,,37.5,100,Chocolates
,Batook Chewing Gum Promergranate  ,,,37.5,100,Chocolates
,Batook Chewing Gum Grape,,,37.5,100,Chocolates
