Barcode *,ItemName *,CurrentQty,ProdPurchasePrice *,ProdSellPrice*
258,LADIES T. SHIRT,8,750,1285
227,KIDS SUIT,2,650,1090
270,SKAT,22,1075,1780
271,SKIRT,12,950,1690
272,SKIRT,14,950,1490
273,SKIRT,99,950,1390
274,SKIRT,132,845,1295
1374,TOWEL M,87,290,475
1375,TOWEL L,87,375,595
2200,BABY  ITAM,40,490,755
1373,TOWEL M,27,280,475
2000,SKIRT,31,1350,1950
2001,SKIRT,8,850,1390
2002,SKIRT,6,1650,2390
2003,FROCK,0,1350,1990
2004,SKIRT,6,1390,1950
2005,SKIRT,4,890,1390
2006,SKIRT,8,1390,1890
2007,FROCK,38,1390,1990
2008,FROCK,9,1390,1990
2009,SKIRT,15,1390,1990
2010,T SHIRT,20,790,1290
2012,LEDIS PENT,2,1050,1695
2013,SKIRT,3,1550,2295
2014,T-SHIRT,70,300,450
2015,T-SHIRT,237,300,450
2016,FORCK,6,1350,1950
2017,SHIRT,5,1350,1950
2018,FORCK,3,1350,1950
2019,FORCK,14,1350,1995
2020,SKIRT,9,1200,1895
2021,SKAT,50,300,450
2022,SKIRT,131,390,550
2024,BLOUSE,34,330,550
2025,BLOUSE,39,890,1390
2026,SHORT,47,100,150
2027,SHORT,35,60,100
2030,DENIM,4,1390,1950
2031,DENIM,22,1790,2750
2032,FROCK,14,1390,1990
2033,BLOUSE,16,990,1665
2034,BLOUSE,25,1100,1790
2035,BLOUSE,6,1250,1850
2036,BLOUSE,12,1100,1795
2037,BLOUSE,8,1050,1775
2038,BLOUSE,21,1050,1695
2039,BLOUSE,13,1190,1890
2040,BLOUSE,4,1290,1975
2041,LADIS PENT,3,790,1190
2042,DENIM,10,1690,2690
2043,SHIRT,20,650,1175
2045,LEDIS PENT,5,550,890
2046,BLOUSE,14,1100,1790
2047,BLOUSE,19,1250,1890
2048,FROCK,6,1750,2950
2049,FROCK,2,1700,2595
2050,DENIM,9,1690,2690
2051,SHORT,17,690,1190
2052,BOY SHORT,94,490,750
2053,BOY SHORT,26,650,950
2054,BOY SHORT,9,1390,1975
2055,SHORT,5,1350,1950
2056,SHORT,9,790,1395
2057,SHORT,0,750,1295
2058,SHORT,10,1350,1975
2059,T SHIRT,52,790,1365
2060,SKINY,43,330,495
2061,SKINY,8,390,550
2011,TSHART,6,750,1290
2023,SKIRT,50,400,590
2044,PANT,8,790,1390
2179,LEDIS PENT,17,2395,3690
2179,LEDIS PENT,2,2395,3690
910,36-910,20,310,490
972,36-972,7,260,390
973,36-973,6,310,460
5253,ITEM,4,3200,5390
1070,38-1070,6,3200,5390
1074,38-1074,4,3200,5390
1067,40-1067,6,3300,5490
1071,40-1071,6,3300,5690
1075,40-1075,6,3300,5690
1068,42-1068,6,3400,5790
1072,42-1072,5,3400,5790
1076,42-1076,6,3400,5890
597,234-597,7,1175,1745
1583,999-1583,0,1170,1790
1585,999-1585,20,1120,1790
638,08 D Skirt-638,6,1775,2750
1090,22 SIL-1090,6,390,590
908,"22, 24, 26-908",20,160,260
588,234 XL-588,10,1175,1790
1091,24 SIL-1091,9,590,590
1092,26 SIL-1092,9,450,690
1135,28 DG Bra (Beige)-1135,6,600,790
1127,28 DG Bra (Black)-1127,5,650,790
1119,28 DG Bra (White)-1119,4,590,790
1093,28 SIL-1093,5,500,750
909,"28, 34-909",31,220,390
1136,30 DG Bra (Beige)-1136,6,600,790
1128,30 DG Bra (Black)-1128,5,650,790
1120,30 DG Bra (White)-1120,3,590,790
1094,30 SIL-1094,7,500,750
1137,32 DG Bra (Beige)-1137,7,600,790
1129,32 DG Bra (Black)-1129,10,650,790
1121,32 DG Bra (White)-1121,5,590,790
1095,32 SIL-1095,7,550,890
1138,34 DG Bra (Beige)-1138,14,700,890
1130,34 DG Bra (Black)-1130,17,650,790
1122,34 DG Bra (White)-1122,32,700,890
1096,34 SIL-1096,9,550,890
1139,36 DG Bra (Beige)-1139,0,750,890
1140,38 DG Bra (Beige)-1140,3,730,890
1132,38 DG Bra (Black)-1132,6,700,890
1124,38 DG Bra (White)-1124,6,700,890
1097,38 SIL-1097,10,650,990
482,"38, 40, 42,44,-482",54,1800,2890
1603,4 x 6 Met-1603,9,640,990
1141,40 DG Bra (Beige)-1141,4,730,890
1133,40 DG Bra (Black)-1133,3,700,890
1125,40 DG Bra (White)-1125,3,700,890
1062,40 Focus-1062,5,2690,4490
1098,40 SIL-1098,10,690,1190
479,40 TS-479,9,1950,2860
480,41 TS-480,17,1350,1950
1142,42 DG Bra (Beige)-1142,9,730,890
1134,42 DG Bra (Black)-1134,2,700,890
1126,42 DG Bra (White)-1126,8,700,890
1063,42 Focus-1063,3,2790,4690
1099,42 SIL-1099,6,690,1190
1064,44 Focus-1064,6,2890,4890
594,456 XL-594,15,1225,1890
1112,50 Boy's West-1112,8,330,450
1113,50 Boy's West-1113,10,330,490
1114,55 Boy's West-1114,10,310,450
1115,55 Boy's West-1115,10,330,490
1116,65 Boy's West-1116,4,390,590
1117,70 Boy's West-1117,9,360,490
1118,70 Boy's West-1118,10,500,690
1079,75 DJ White-1079,8,600,790
