Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
ooooo1,Maliban Cream Cracker  125G,,, 129.00 ,140,Biscuits
,Maliban Chocolate Biscuit 100G,,, 120.00 ,130,Biscuits
,Scan Jumbo Peanut,,, 150.00 ,150,Snack
,Maliban Custed Cream Biscuit,,, 102.00 ,110,Biscuits
,Maliban Gold Marie,,, 83.00 ,90,Biscuits
,maliban Cocolate puff,,, 120.00 ,130,Biscuits
,Watawala Tea,,, 289.00 ,315,Grocery
,Raigam Soya Prawns Pkt,,, 145.00 ,170,Grocery
,Lanka Soy Chicken,,, 140.00 ,150,Grocery
,Maggi Noodles Chicken,,, 107.00 ,115,Grocery
,Prima Kottu Mee,,, 127.00 ,135,Grocery
,Asiri Hot Mixture,,, 120.00 ,120,Snack
,KELLOGGIS CHOCOS DUET,,, 65.00 ,120,Grocery
,Milan Spagetti 400g,,, 380.00 ,410,Grocery
,Roza Pasta(FUSILLI),,, 400.00 ,460,Grocery
,Rosa Pasta ROZA PASTA (ELBOW),,, 400.00 ,460,Grocery
,Asiri Coctail Mixture,,, 90.00 ,100,Snack
,Coca Cola 400ML,,, 180.00 ,200,Beverage
,Marina Cocount Oil 200ML,,, 385.00 ,415,Grocery
,Kist Strawberry/ Divul Jam,,, 261.00 ,290,Grocery
,MD Jam Pineapple 225G,,, 340.00 ,340,Grocery
,Baby Cheramy Colonge,,, 460.00 ,500,Grocery
,Baby Sheramy colonge Classic,,, 320.00 ,360,Grocery
,Ocen Star Jack Mackerel ,,, 240.00 ,240,Grocery
,Detol Plaster 100strips,,, 17.00 ,20,Grocery
,PANADOL TAB 156,,, 514.00 ,,Grocery
,Knorr Chicken Cube 34G,,, 115.00 ,120,Grocery
,New Ruhunu Salt 400G,,, 110.00 ,120,Grocery
,Siddhalepa 10G,,, 194.00 ,220,Grocery
,Eva Cotton Feel Wings,,, 254.00 ,270,Grocery
,Whisper Skin Love Soft,,, 260.00 ,260,Grocery
,Samahan pkt,,, 56.00 ,60,Grocery
,Uswattew Chips Spicy,,, 200.00 ,200,Snack
,Uswattew Chips Salted,,, 200.00 ,200,Snack
,Kotmale Fresh Milk 1Lt,,, 530.00 ,550,Beverage
,Hot Dak Cheese Ramen,,, 570.00 ,595,Food
,Shin Super Ramen,,, 480.00 ,595,Food
,Shin 120G Ramen,,, 450.00 ,595,Food
,Tipex,,, 120.00 ,150,Stationary
,Pencil Colour 12pc,,, 450.00 ,480,Stationary
,Pastel Colour 12,,, 160.00 ,195,Stationary
,Sharpener,,, 80.00 ,120,Stationary
,Liquid Glue,,, 35.00 ,40,Stationary
,Balloon 10pc,,, 100.00 ,120,Stationary
,10 Colour Pen,,, 90.00 ,120,Stationary
,Bubbles Bottle,,, 55.00 , 70.00 ,Stationary
,Highlighter Pen Pack,,, 250.00 ,270,Stationary
,Platinum (bclr),,, 210.00 ,260,Stationary
,Pen (Blue/Black/Red),,, 20.00 , 20.00 ,Stationary
,Scissor,,, 70.00 , 90.00 ,Stationary
,Ruler (Design),,, 50.00 , 65.00 ,Stationary
,Exercise Book 80pg,,, 55.00 ,80,Stationary
,Super Glue,,, 65.00 ,80,Stationary
,Eraser Pack,,, 16.00 , 20.00 ,Stationary
,Tape,,, 400.00 ,30,Stationary
,Battery AA,,, 72.00 ,90,Stationary
,Battery S,,, 192.00 ,240,Stationary
,Stapler Pin (No.10),,, 25.00 ,100,Stationary
,Stepler Machine,,, 145.00 ,180,Stationary
,A7 Note Book,,, 40.00 ,50,Stationary
,A6 Note Book,,, 60.00 ,70,Stationary
,Magic Candle,,, 80.00 ,100,Stationary
,Sling Candle,,, 180.00 , 230.00 ,Stationary
,Star Candle,,, 200.00 , 260.00 ,Stationary
,Birthday Cap Normal ,,, 60.00 ,100,Stationary
,Birthday Cap Bubble,,, 200.00 ,250,Stationary
,Balloon,,, 200.00 ,220,Stationary
,Number Candle (N),,, 40.00 ,60,Stationary
,Number Candle (G),,, 70.00 ,90,Stationary
,Birthday Crown,,, 250.00 ,270,Stationary
,Bride-to-be Crown,,, 300.00 ,350,Stationary
,Paper Plate Printed L,,, 150.00 ,170,Stationary
,Paper Plate Printed S,,, 120.00 ,150,Stationary
,Happy Birthday Banner,,, 200.00 ,250,Stationary
,Sash,,, 200.00 ,240,Stationary
,Bride Topper,,, 100.00 ,145,Stationary
