no,code,Barcode,category,item_name,cost_price_qty,purchase_price,Selling_price,qty,stock,dis_limit
401,2857,2857,Hair care,Hair Clip Aanya,30.00 - 65.00 - 0.000,30.00 , 65.00 , 0.000,0,60
402,2858,2858,Hair care,Hair Clip 2858,80.00 - 225.00 - 0.000,80.00 , 225.00 , 0.000,0,150
403,2859,2859,Hair care,Hair Clip 2859,30.00 - 65.00 - 15.000,30.00 , 65.00 , 15.000,15,60
404,2860,2860,Hair care,Hair Clip 2860,120.00 - 265.00 - 0.000,120.00 , 265.00 , 0.000,0,230
405,2861,2861,Hair care,Hair Clip 2861,75.00 - 175.00 - 0.000,75.00 , 175.00 , 0.000,0,130
406,2862,2862,Hair care,Hair Clip 2862,70.00 - 165.00 - 3.000,70.00 , 165.00 , 3.000,3,100
2726,2863,2863,Other,Qianbohan Ladies Purse,500.00 - 895.00 - 0.000,500.00 , 895.00 , 0.000,0,750
407,2865,2865,Hair care,Hair Pins Shenghua,10.00 - 20.00 - 49.000,10.00 , 20.00 , 49.000,49,20
2173,2866,2866,Jewlery,Bracelet Fashion Jewlery,120.00 - 295.00 - 0.000,120.00 , 295.00 , 0.000,0,260
2578,2867,2867,Bags &,Hand Bag Victoria,1005.00 - 1950.00 - 1.000,1005.00 , 1950.00 , 1.000,1,1500
408,2868,2868,Hair care,Hair Clip 2868,125.00 - 265.00 - 0.000,125.00 , 265.00 , 0.000,0,230
409,2869,2869,Hair care,Hair Clip 2869,125.00 - 285.00 - 0.000,125.00 , 285.00 , 0.000,0,230
410,2870,2870,Hair care,Hair Clip 2870,125.00 - 325.00 - 0.000,125.00 , 325.00 , 0.000,0,230
411,2871,2871,Hair care,Hair Band 2871,60.00 - 145.00 - 0.000,60.00 , 145.00 , 0.000,0,110
412,2872,2872,Hair care,Hair Clip 2872,150.00 - 365.00 - 0.000,150.00 , 365.00 , 0.000,0,300
413,2873,2873,Hair care,Hair Band J.P,35.00 - 75.00 - 12.000,35.00 , 75.00 , 12.000,12,60
2016,2874,2874,Makeup,Shweta Sticker Kumkum,10.00 - 20.00 - 103.000,10.00 , 20.00 , 103.000,103,20
415,2876,2876,Hair care,Hair Band Montana,80.00 - 165.00 - 6.000,80.00 , 165.00 , 6.000,6,130
416,2877,2877,Hair care,Hair clip 2877,125.00 - 265.00 - 2.000,125.00 , 265.00 , 2.000,2,230
