no,code,Barcode,category,item_name,cost_price_qty,purchase_price,Selling_price,qty,stock,dis_limit
3845,3086,3086,Party items,BirthDay Hat 3086,20.00 - 50.00 - 26.000,20.00 , 50.00 , 26.000,26,50
462,3087,3087,Hair care,Hair Net 3087,35.00 - 75.00 - 90.000,35.00 , 75.00 , 90.000,90,65
2743,3088,3088,Other,Handkerchief 3088,150.00 - 360.00 - 0.000,150.00 , 360.00 , 0.000,0,265
2243,3089,3089,Jewlery,Plastic Bangels 3089,150.00 - 365.00 - 5.000,150.00 , 365.00 , 5.000,5,200
1357,3090,3090,Skin care,Topaz Saubhagya Kumkum,50.00 - 165.00 - 14.000,50.00 , 165.00 , 14.000,14,125
2744,3092,3092,Other,Three Five Nail Cutter,100.00 - 265.00 - 0.000,100.00 , 265.00 , 0.000,0,220
2244,3093,3093,Jewlery,King Of Pola Bangle,20.00 - 50.00 - 14.000,20.00 , 50.00 , 14.000,14,40
2245,3094,3094,Jewlery,AB Arbuda Bangles,120.00 - 220.00 - 58.000,120.00 , 220.00 , 58.000,58,170
1359,3095,3095,Skin care,Rathi Maha Kumkum,50.00 - 100.00 - 17.000,50.00 , 100.00 , 17.000,17,80
2745,3096,3096,Other,Hand Rubber Band 3096,25.00 - 50.00 - 30.000,25.00 , 50.00 , 30.000,30,50
2746,3097,3097,Other,Luvi Nail Cutter 3097,75.00 - 165.00 - 2.000,75.00 , 165.00 , 2.000,2,100
2246,3098,3098,Jewlery,Saree Avadi,100.00 - 295.00 - 2.000,100.00 , 295.00 , 2.000,2,200
2247,3099,3099,Jewlery,Saree Awadi 3099,200.00 - 495.00 - 1.000,200.00 , 495.00 , 1.000,1,350
2248,3100,3100,Jewlery,Saree pin 3100,400.00 - 895.00 - 4.000,400.00 , 895.00 , 4.000,4,700
3064,3103,3103,Baby Items,Nepkin Clip 3103,40.00 - 80.00 - 14.000,40.00 , 80.00 , 14.000,14,70
2747,3104,3104,Other,Luvi Nail Cutter 3104,50.00 - 125.00 - 1.000,50.00 , 125.00 , 1.000,1,100
2748,3105,3105,Other,Luvi Nail Clippers 3105,60.00 - 135.00 - 8.000,60.00 , 135.00 , 8.000,8,100
1360,3106,3106,Skin care,Suganda Kumkum,150.00 - 295.00 - 9.000,150.00 , 295.00 , 9.000,9,200
2749,3107,3107,Other,Copuram Temeric Powder,150.00 - 290.00 - 3.000,150.00 , 290.00 , 3.000,3,200
463,3108,3108,Hair care,Dulan Eye Liner,130.00 - 365.00 - 9.000,130.00 , 365.00 , 9.000,9,250
464,3109,3109,Hair care,Hair Band 3109,130.00 - 325.00 - 0.000,130.00 , 325.00 , 0.000,0,230
465,3110,3110,Hair care,Hair Band 3110,100.00 - 265.00 - 0.000,100.00 , 265.00 , 0.000,0,230
1361,3111,3111,Skin care,Sundaram Kumkum,40.00 - 85.00 - 5.000,40.00 , 85.00 , 5.000,5,80
466,3112,3112,Hair care,Crown Band 3112,70.00 - 165.00 - 0.000,70.00 , 165.00 , 0.000,0,130
2249,3113,3113,Jewlery,Silver Ladies Chain,100.00 - 265.00 - 9.000,100.00 , 265.00 , 9.000,9,170
1362,3114,3114,Skin care,Eyetex Kajal,25.00 - 60.00 - 30.000,25.00 , 60.00 , 30.000,30,50
1363,3115,3115,Skin care,Eyemax Medium Size,20.00 - 50.00 - 60.000,20.00 , 50.00 , 60.000,60,50
467,3116,3116,Hair care,Hair Pin 3116,60.00 - 135.00 - 2.000,60.00 , 135.00 , 2.000,2,100
468,3117,3117,Hair care,Earing 3117,20.00 - 80.00 - 6.000,20.00 , 80.00 , 6.000,6,50
469,3118,3118,Hair care,Panda Hair Band 3118,130.00 - 325.00 - 9.000,130.00 , 325.00 , 9.000,9,230
470,3119,3119,Hair care,Hair Bool Ornaments China,100.00 - 265.00 - 1.000,100.00 , 265.00 , 1.000,1,230
1364,3120,3120,Skin care,Go Colors Kumkum Bindi,40.00 - 85.00 - 1.000,40.00 , 85.00 , 1.000,1,80
471,3121,3121,Hair care,Hair Clip 3121,130.00 - 295.00 - 0.000,130.00 , 295.00 , 0.000,0,250
2750,3122,3122,Other,Hand Rubber Band 3122,10.00 - 20.00 - 10.000,10.00 , 20.00 , 10.000,10,20
472,3123,3123,Hair care,Hair Clips 3123,60.00 - 145.00 - 25.000,60.00 , 145.00 , 25.000,25,120
473,3124,3124,Hair care,Hair Clips 3124,35.00 - 75.00 - 21.000,35.00 , 75.00 , 21.000,21,70
474,3125,3125,Hair care,Hair Clips 3125,40.00 - 85.00 - 0.000,40.00 , 85.00 , 0.000,0,85
2751,3126,3126,Other,Safety Pin 3126,15.00 - 35.00 - 15.000,15.00 , 35.00 , 15.000,15,35
2250,3127,3127,Jewlery,Leg Chain 3127,200.00 - 385.00 - 19.000,200.00 , 385.00 , 19.000,19,280
2251,3128,3128,Jewlery,Meti 3128,100.00 - 265.00 - 23.000,100.00 , 265.00 , 23.000,23,170
2252,3129,3129,Jewlery,Hand Bracelet 3129,100.00 - 265.00 - 0.000,100.00 , 265.00 , 0.000,0,230
475,3130,3130,Hair care,Hair Pin 3130,30.00 - 60.00 - 16.000,30.00 , 60.00 , 16.000,16,60
476,3131,3131,Hair care,Hair Pin 3131,25.00 - 50.00 - 7.000,25.00 , 50.00 , 7.000,7,50
2253,3132,3132,Jewlery,Head Chain 3132,150.00 - 365.00 - 6.000,150.00 , 365.00 , 6.000,6,250
2254,3133,3133,Jewlery,Earing 3133,70.00 - 165.00 - 221.000,70.00 , 165.00 , 221.000,221,100
2255,3134,3134,Jewlery,Earing 3134,60.00 - 185.00 - 12.000,60.00 , 185.00 , 12.000,12,120
2256,3135,3135,Jewlery,Adidas Bracelet 3135,250.00 - 565.00 - 0.000,250.00 , 565.00 , 0.000,0,500
2257,3136,3136,Jewlery,Leg Chain 3136,150.00 - 365.00 - 8.000,150.00 , 365.00 , 8.000,8,250
477,3137,3137,Hair care,Hair Pin 3137,20.00 - 35.00 - 7.000,20.00 , 35.00 , 7.000,7,30
2258,3138,3138,Jewlery,Leg Chain 3138,150.00 - 325.00 - 4.000,150.00 , 325.00 , 4.000,4,225
2259,3139,3139,Jewlery,Earing 3139,40.00 - 165.00 - 0.000,40.00 , 165.00 , 0.000,0,125
2260,3140,3140,Jewlery,Earing 3140,100.00 - 225.00 - 0.000,100.00 , 225.00 , 0.000,0,200
2261,3141,3141,Jewlery,Earing 3141,120.00 - 285.00 - 0.000,120.00 , 285.00 , 0.000,0,250
2262,3142,3142,Jewlery,Gents Silver Chain 3142,180.00 - 395.00 - 6.000,180.00 , 395.00 , 6.000,6,250
2263,3143,3143,Jewlery,Bracelet 3143,30.00 - 110.00 - 15.000,30.00 , 110.00 , 15.000,15,80
2264,3144,3144,Jewlery,Earing 3144,40.00 - 165.00 - 0.000,40.00 , 165.00 , 0.000,0,125
2265,3145,3145,Jewlery,Earing 3145,50.00 - 150.00 - 0.000,50.00 , 150.00 , 0.000,0,125
2266,3146,3146,Jewlery,Chain 3146,300.00 - 595.00 - 0.000,300.00 , 595.00 , 0.000,0,500
2267,3147,3147,Jewlery,Chain 3147,150.00 - 395.00 - 0.000,150.00 , 395.00 , 0.000,0,300
2268,3148,3148,Jewlery,Couple Chain 2pcs,200.00 - 465.00 - 0.000,200.00 , 465.00 , 0.000,0,400
2019,3150,3150,Makeup,Bath Cap 3150,160.00 - 395.00 - 6.000,160.00 , 395.00 , 6.000,6,250
2022,3153,3153,Makeup,Nail Art Araj,60.00 - 150.00 - 8.000,60.00 , 150.00 , 8.000,8,125
2023,3154,3154,Makeup,Eye Eyelash Adhesive 7g,80.00 - 225.00 - 2.000,80.00 , 225.00 , 2.000,2,170
2025,3156,3156,Makeup,Terminator 3156,100.00 - 265.00 - 8.000,100.00 , 265.00 , 8.000,8,200
2026,3157,3157,Makeup,Solida Finest Hairnet,40.00 - 100.00 - 50.000,40.00 , 100.00 , 50.000,50,80
2028,3162,3162,Makeup,Miss Rose Powder 02,560.00 - 985.00 - 5.000,560.00 , 985.00 , 5.000,5,750
2029,3163,3163,Makeup,Charle Puff Compact,350.00 - 790.00 - 10.000,350.00 , 790.00 , 10.000,10,600
2036,3175,3175,Makeup,Eyeliner Pen 30H 3175,300.00 - 690.00 - 3.000,300.00 , 690.00 , 3.000,3,400
2037,3176,3176,Makeup,Volume Eyeliner Flash,300.00 - 565.00 - 1.000,300.00 , 565.00 , 1.000,1,400
479,3177,3177,Hair care,Hair Clip 3177,30.00 - 65.00 - 34.000,30.00 , 65.00 , 34.000,34,65
1879,3186,3186,Fragrance,Gold Energy Deo Spray,900.00 - 990.00 - 1.000,900.00 , 990.00 , 1.000,1,990
2040,3192,3192,Makeup,Jun Da Bronzer Brush,350.00 - 695.00 - 3.000,350.00 , 695.00 , 3.000,3,500
2042,3194,3194,Makeup,Junda Finish/ Perfected,310.00 - 645.00 - 0.000,310.00 , 645.00 , 0.000,0,550
2049,3201,3201,Makeup,Makeup Brush 3201,100.00 - 265.00 - 2.000,100.00 , 265.00 , 2.000,2,170
2050,3202,3202,Makeup,Yubi Beauty Head Cloth,100.00 - 265.00 - 12.000,100.00 , 265.00 , 12.000,12,200
3380,3203,3203,Kids Items,Jaa Jump Rope 3203,170.00 - 395.00 - 0.000,170.00 , 395.00 , 0.000,0,250
3382,3205,3205,Kids Items,Baby Bath Set 3205,350.00 - 595.00 - 2.000,350.00 , 595.00 , 2.000,2,450
3383,3206,3206,Kids Items,Spider Man 3206,100.00 - 265.00 - 0.000,100.00 , 265.00 , 0.000,0,200
3384,3207,3207,Kids Items,Elephant 3207,200.00 - 465.00 - 1.000,200.00 , 465.00 , 1.000,1,300
3385,3208,3208,Kids Items,Lion 3208,150.00 - 325.00 - 1.000,150.00 , 325.00 , 1.000,1,230
3386,3209,3209,Kids Items,Yong Barby Girl 3209,50.00 - 120.00 - 2.000,50.00 , 120.00 , 2.000,2,80
3387,3210,3210,Kids Items,Barby Girl 3210,100.00 - 265.00 - 0.000,100.00 , 265.00 , 0.000,0,220
3388,3211,3211,Kids Items,3211,20.00 - 50.00 - 20.000,20.00 , 50.00 , 20.000,20,50
3389,3212,3212,Kids Items,Small Car 3212,50.00 - 120.00 - 2.000,50.00 , 120.00 , 2.000,2,80
3390,3213,3213,Kids Items,Music whistle 3213,100.00 - 225.00 - 1.000,100.00 , 225.00 , 1.000,1,170
3391,3214,3214,Kids Items,Water Gun 3214,100.00 - 265.00 - 0.000,100.00 , 265.00 , 0.000,0,170
3392,3215,3215,Kids Items,Gun 3215,350.00 - 765.00 - 0.000,350.00 , 765.00 , 0.000,0,550
3393,3216,3216,Kids Items,Barby Girl 3216,200.00 - 465.00 - 0.000,200.00 , 465.00 , 0.000,0,400
3394,3217,3217,Kids Items,Barby Girl (Doctor) 3217,300.00 - 695.00 - 0.000,300.00 , 695.00 , 0.000,0,600
3395,3218,3218,Kids Items,Ben Ten Watch 3218,100.00 - 265.00 - 0.000,100.00 , 265.00 , 0.000,0,180
