Barcode *,ItemName *,CurrentQty,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
4792081019106,BABY COLON 100ML,7,502.00,575.00,
4792081025459,PONDS 100GM,4,475.00,530.00,
4792081018970,PEARS BABY CREAM 100ML,3,314.00,360.00,
4792081018963,PEARS BABY CREAM 100ML BEDTIME,3,323.00,370.00,
4792081018932,PEARS BABY CREAM 100ML GENTLE,3,314.00,360.00,
4792081019021,PEARS BABY CREAM 100ML VENIVEL,6,314.00,360.00,
4792081022403,CLEAR MENTHOL SHAMPO,8,807.00,900.00,
4792081022397,CLEAR MENTHOL SHAMPO,6,439.00,490.00,
4792081022410,CLEAR SHAMPOO,6,421.00,470.00,
4792081022366,CLEAR  SHAMPO,3,780.00,870.00,
4792081020706,LUX  BODY  WASH,0,544.00,650.00,
4792081018956,PEARS 50ML BABY  CREEM,5,157.00,180.00,
4792081029952,HAIR BODY WASH 100ML,5,250.00,300.00,
4792081029945,PEARS BABY  OIL 100 ML,2,310.00,365.00,
4792081019212,BABY TALC,2,282.00,315.00,
4792081020850,LEVER AYUSH,3,1040.00,1215.00,
4792081029242,AYUSH FACE CREAM,6,205.00,235.00,
4792081031900,PONDS  FACEWASH,9,595.00,670.00,
4792081020843,LEVER AYUSH 25GM,4,410.00,470.00,
4792081032761,NATURAL GLOW FACE CREAM 25GM,4,423.00,485.00,
4792081014828,LOVELY AYURVEDIC CARE 25GMJ,4,575.00,645.00,
4792081014750,HHANDSOME,0,487.00,585.00,
4796018000564,CHITRAMALA,72,105.00,150.00,
4796005140174,PITCHAMALA,71,60.00,100.00,
4796018000106,SAPTHAMI,72,105.00,150.00,
4792054006324,BABY GIFT,0,1147.00,1350.00,
4792054014022,BABY COLON 200ML,2,756.00,890.00,
4792054001602,BABY COLON 100ML,2,484.00,570.00,
4792054001718,BABY COLON 50ML,3,306.00,360.00,
4792054001718,BABY COLON 50ML,6,306.00,360.00,
4792054006003,BABY WOSH 100ML,2,246.00,290.00,
4792054008946,BABY WOSH 50ML,8,127.00,150.00,
4792054001725,BABY TALC 100G,5,212.00,250.00,
4792054015906,BABY LOSAN 100 ML,5,306.00,360.00,
4792054006201,BABY. CREAM 100M,7,280.00,330.00,
4792054006195,BABY LOSAN 100 ML,6,425.00,500.00,
4792054006171,BABY COLON 100 ML MATHARS,0,425.00,500.00,
4792054006287,BABY COLON 50ML,4,238.00,280.00,
4792054013537,BABY CREAM 50M,12,148.00,175.00,
4792054006034,BABY SHAMPOO 200M,4,416.00,490.00,
4792054017269,BABY COLON 50M,1,238.00,280.00,
4792054014268,BABY OIL 50M,6,221.00,260.00,
4792054014312,Panda Baby Cream 100ml,6,280.00,330.00,
4792054013995,BABY OIL,0,399.00,470.00,
4792054017252,BABY COLON,2,425.00,500.00,
4792054006027,BABY SHAMPOO 100ML,9,238.00,280.00,
213,BOYS SKINY,20,450.00,690.00,
214,SKYNI,9,625.00,995.00,
216,SKINY,16,520.00,865.00,
217,SKINY,10,650.00,1090.00,
218,SKINY,11,500.00,880.00,
219,BOY T SHIRT,73,475.00,850.00,
