Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
LDTDL004,TRENDLINE ADULT DOG FOOD LAMB AND RICE 1KG,,,0,1850,Lider
LDRPK005,REFLEX PLUS KITTEN FOOD CHICKEN 1.5KG,,,0,3950,Lider
LDRPC006,REFLEX PLUS ADULT CAT FOOD CHICKEN 1.5KG,,,0,3950,Lider
LDRPC007,REFLEX PLUS ADULT CAT FOOD SALMON 1.5KG,,,0,3950,Lider
LDRPC008,REFLEX PLUS ADULT CAT FOOD CHICKEN 8KG,,,0,16500,Lider
LDRPC009,REFLEX PLUS ADULT CAT FOOD SALMON 8KG,,,0,16500,Lider
LDPRO010,PROLINE CAT LITTER 10L BABY POWDER SCENTED,,,,2700,Lider
LDPRO011,PROLINE CAT LITTER 10L ALOE VERA SCENTED,,,0,2700,Lider
LDRFC012,REFLEX CAT LITTER 10L GREY ACTIVATED CARBON,,,0,3950,Lider
LDRFC013,REFLEX CAT LITTER 10L WITH ACTIVE CARBON GRANULES,,,0,3950,Lider
LDTDB014,TRENDLINE ADULT DOG FOOD BEEF 15 KG,,,0,22500,Lider
LDTDL015,TRENDLINE ADULT DOG FOOD LAMB AND RICE 15KG,,,0,22850,Lider
LDRFD016,REFLEX ACTIVE AND HUNTING ADULT DOG FOOD BEEF HIGH ENERGY 15KG,,,0,24500,Lider
LDRFD017,REFLEX ACTIVE AND HUNTING ADULT DOG FOOD BEEF HIGH ENERGY 3KG,,,0,6850,Lider
LDRFP018,REFLEX PUPPY FOOD BEEF AND RICE 15KG,,,0,24750,Lider
LDRFP019,REFLEX PUPPY FOOD BEEF AND RICE 3KG,,,0,6950,Lider
LDRPD020,REFLEX PLUS MEDIUM LARGE BREED JUNIOR DOG FOOD LAMB AND RICE 15KG,,,0,29500,Lider
LDRPD021,REFLEX PLUS MEDIUM LARGE BREED JUNIOR DOG FOOD LAMB AND RICE 3KG,,,0,6850,Lider
LDRPK022,REFLEX PLUS KITTEN FOOD CHICKEN 8KG,,,0,17500,Lider
LDSKK023,SPECTRUM KITTEN FOOD KITTEN38 2KG,,,0,6850,Lider
LDRFD024,REFLEX ADULT DOG FOOD BEEF HIGH ENARGY 3KG,,,0,6850,Lider
LDSPS025,SPECTRUM PUPPY FOOD PUPPY STARTER30 3KG,,,0,8750,Lider
LDPCL026,PROLINE CAT LITTER LAVENDER SCENTED 10L,,,0,2700,Lider
LDPRO027,PROLINE CAT LITTER 10L MARSEILLE SOAP SCENTED,,,0,2700,Lider
LDPRO029,PROLINE CAT LITTER 10L UNSCENTED,,,0,2700,Lider
LDRFC030,REFLEX CAT LITTER 10L CLINIC FRESH SCENTED,,,0,3950,Lider
LDRFC031,REFLEX CAT LITTER 10L FOR SENSITIVE CATS UNSCENTED,,,0,3950,Lider
LDRPC032,REFLEX PLUS MOTHER AND BABY CAT FOOD LAMB AND RICE 1.5KG,,,0,4250,Lider
LDRPC033,REFLEX PLUS ADULT CAT FOOD URINARY CHICKEN 1.5KG,,,0,4350,Lider
LDBKC034,BONNIE KITTEN FOOD CHICKEN 500G,,,0,1580,Lider
LDBCS035,BONNIE ADULT CAT FOOD SALMON 500G,,,0,1280,Lider
LDRPC036,REFLEX PLUS STERILISED CAT FOOD SALMON 8KG,,,0,16500,Lider
LDTPB037,TRENDLINE PUPPY FOOD BEEF AND RICE 15 KG,,,0,23500,Lider
LDKDB038,KING PLUS ADULT DOG FOOD BEEF 15KG,,,0,18500,Lider
LDKDB039,KING PLUS ADULT DOG FOOD BEEF 10KG,,,0,8500,Lider
LDBDL040,BONNIE ADULT DOG FOOD LAMB AND RICE 15KG,,,0,23500,Lider
LDBDB041,BONNIE ADULT DOG FOOD BEEF 15KG,,,0,23500,Lider
LDBCC042,BONNIE BASIC ADULT CAT FOOD CHICKEN 10KG,,,0,13500,Lider
LDBCS043,BONNIE ADULT CAT FOOD SALMON 1.5KG,,,0,3850,Lider
LDBCC044,BONNIE ADULT CAT FOOD CHICKEN 1.5KG,,,0,3850,Lider
LDBCC045,BONNIE ADULT CAT FOOD CHICKEN 500G,,,0,1250,Lider
LDBKC046,BONNIE KITTEN FOOD CHICKEN 1.5KG,,,0,3950,Lider
LDKDB047,KING PLUS ADULT DOG FOOD BEEF 1KG (REPACK),,,0,0,Lider
LDRFK048,REFLEX KITTEN 500G (REPACK),,,0,0,Lider
LDBDB049,BONNIE ADULT DOG FOOD BEEF 1KG (REPACK),,,0,1600,Lider
LDTPR050,TRENDLINE PUPPY 1KG (REPACK),,,0,0,Lider
LDRFC051,REFLEX ADULT CAT FOOD CHICKEN 500G (REPACK),,,0,0,Lider
LDSPS052,SPECTRUM PUPPY 100G (SAMPLE),,,0,0,Lider
LDSKS053,SPECTRUM KITTEN 100G (SAMPLE),,,0,0,Lider
LDRFD054,REFLEX ADULT HIGH ENERGY 150G (SAMPLE),,,0,0,Lider
LDRFK055,REFLEX KITTEN CAT FOOD CHICKEN 100G (SAMPLE),,,0,0,Lider
LDSKK056,SPECTRUM KITTEN FOOD KITTEN38 150G (SAMPLE),,,0,0,Lider
LDSPS057,SPECTRUM PUPPY FOOD PUPPY STARTER30 150G,,,0,0,Lider
LDRFD058,REFLEX ADULT DOG FOOD BEEF HIGH ENARGY 150G (SAMPLE),,,0,0,Lider
LDRPK059,REFLEX PLUS KITTEN FOOD CHICKEN 100G (SAMPLE),,,0,0,Lider
MDBMC001,MC JUNIOR CROQUETTES WITH CHICKEN 1.5KG,,,0,3250,Lider
MDBMC002,MC SENIOR CROQUETTES WITH CHICKEN 4KG,,,0,7250,Lider
MDBMC003,MC ACTIVE CROQUETTES WITH BEEF 4KG,,,0,7250,Lider
MDBMC004,MC ACTIVE CROQUETTES WITH BEEF 10KG,,,0,14500,Lider
MDBMC005,MC SPECIALMENU CROQUETTES WITH CHICKEN AND VEGETABLES 4Kg,,,0,7250,Lider
MDBMC006,MC SPECIALMENU CROQUETTES WITH CHICKEN AND VEGETABLES 10KG,,,0,14750,Lider
MDBMC007,MC CHUNKS WITH BEEF 405G,,,0,590,Lider
MDBMC008,MC CHUNKS WITH CHICKEN AND TURKEY 405G,,,0,590,Lider
MDBMC009,MC CHUNKS WITH CHICKEN AND TURKEY 800G,,,0,980,Lider
MDBMC010,MC CHUNKS WITH CHICKEN AND TURKEY 1.25KG,,,0,1550,Lider
MDBMC011,MC CHUNKS WITH CHICKEN RICE VEGITABLE 1.25KG,,,0,1550,Lider
MDBMC012,MC CHUNKS WITH BEEF 1.25KG,,,0,1550,Lider
MDBMC013,MC CHUNKS WITH FISH AND POULTRY 1.25KG,,,0,1550,Lider
MDBMG014,MG CHUNKS WITH CHICKEN AND TURKEY 405G,,,0,590,Lider
MDBMG015,MG CHUNKS WITH FISH 405G,,,0,590,Lider
MDBMG016,MG CHUNKS WITH SALMON 405G,,,0,590,Lider
MDBMG017,MG PATE WITH TUNA AND SALMON 400G,,,0,590,Lider
MDBMG018,MG STRIPS WITH CHICKEN AND TURKEY 100G POUCH,,,0,380,Lider
MDBMG019,MG STRIPS WITH SALMON AND TUNA 100G POUCH,,,0,390,Lider
MDBMG020,MG ADULT KIBBLE WITH FISH 400G,,,0,950,Lider
MDBMG021,MG ADULT KIBBLE WITH BEEF 400G,,,0,1250,Lider
MDBMG022,MG ADULT KIBBLE WITH CHICKEN 400G,,,0,1450,Lider
MDBMG023,MG HAIRBALL KIBBLE WITH CHICKEN 400G,,,0,1450,Lider
MDBMG024,"MG ADULT KIBBLE WITH CHICKEN, TURKEY AND VEGETABLES 1.5KG",,,0,3950,Lider
MDBMG025,MG ADULT KIBBLE WITH SALMON 1.5KG,,,0,3480,Lider
MDBMG026,MG ADULT KIBBLE WITH CHICKEN AND TURKEY 2KG,,,0,4950,Lider
MDBMG027,MG ADULT KIBBLE WITH SALMON 2KG,,,0,4950,Lider
MDBMG028,MG HAIRBALL KIBBLE WITH CHICKEN 2KG,,,0,4950,Lider
MDBMG029,MG ADULT KIBBLE WITH CHICKEN 4KG,,,0,7950,Lider
MDBMG030,MG KIBBLE WITH BEEF 400G,,,0,1250,Lider
MDBMG031,MG KIBBLE WITH CARNE 400G,,,0,1250,Lider
MDBMG032,MG STERILIZED CROQUETTES WITH BEEF 1.5KG,,,0,4850,Lider
DVDOG001,DIVINUS PUPPY 20KG,,,0,22800,Lider
DVDOG002,DIVINUS PUPPY 4KG,,,0,5600,Lider
DVDOG003,DIVINUS ADULT 20KG,,,0,21000,Lider
DVDOG004,DIVINUS PERFORMANCE 20KG,,,0,22500,Lider
DVCAT011,DIVINUS CAT COMPLETE 20KG,,,0,24800,Lider
DVDOG010,DIVINUS PERFORMANCE 100G (SAMPLE),,,0,0,Lider
DVCAT014,DIVINUS CAT COMPLETE 100G (SAMPLE),,,0,0,Lider
DVCAT013,DIVINUS CAT FISH 2KG,,,0,3250,Lider
LDKAD001,KING REGULAR ADULT DOG FOOD 20KG,,,0,22500,Lider
MDBMG063,MG PATE WITH CHICKEN AND TURKEY 400G,,,0,590,Lider
LDBDL060,BONNIE ADULT DOG FOOD LAMB AND RICE 1KG (Repack),,,0,1600,Lider
LDTPB061,TRENDLINE PUPPY FOOD BEEF AND RICE 1KG (Repack),,,0,1690,Lider
TST0001,Test Item 01,,,0,20,Lider
OB,Opening Balance,,,0,0,Lider
DVCAT015,DIVINUS PUPPY 500G (SAMPLE),,,0,0,Lider
DVCAT016,DIVINUS ADULT 500G (SAMPLE),,,0,0,Lider
