Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
PD_000026,Melamine Board 8X4 6mm (Cherry),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine Board 8X4 6mm (Cherry),0,4400,32 x 4
PD_000027,Melamine  8X4  9mm (White),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine  8X4  9mm (White),0,5600,33 x 4
PD_000028,Melamine 8X4  12mm (White),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4  12mm (White),0,6750,34 x 4
PD_000029,Melamine 8X4 15mm (White),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4 15mm (White),0,8450,35 x 4
PD_000030,Melamine 8X4 18mm (White),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4 18mm (White),0,9950,36 x 4
PD_000031,Melamine  8X4   6mm (White),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine  8X4   6mm (White),0,4400,37 x 4
PD_000032,Melamine 8X4    6mm (Black),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4    6mm (Black),0,4400,38 x 4
PD_000033,Melamine 8X4  6mm (Beach),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4  6mm (Beach),0,4400,39 x 4
PD_000034,Melamine 8X4  9mm (Black),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4  9mm (Black),0,5600,40 x 4
PD_000035,Melamine   8X4  9mm (cherry ),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine   8X4  9mm (cherry ),0,5600,41 x 4
PD_000036,Melamine  8X4  9mm ( Beach),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine  8X4  9mm ( Beach),0,5600,42 x 4
PD_000037,Melamine  8X4  12mm ( Black),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine  8X4  12mm ( Black),0,6750,43 x 4
PD_000038,Melamine  8X4  12mm (cherry ),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine  8X4  12mm (cherry ),0,6750,44 x 4
PD_000039,Melamine 8X4  12mm (Beach),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4  12mm (Beach),0,6750,45 x 4
PD_000040,Melamine 8X4 15mm ( Black),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4 15mm ( Black),0,8450,46 x 4
PD_000041,Melamine 8X4  15mm ( Cherry),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4  15mm ( Cherry),0,8450,47 x 4
PD_000042,Melamine 8X4  15mm ( Beach),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4  15mm ( Beach),0,8450,48 x 4
PD_000043,Melamine 8X4  18mm (Black),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4  18mm (Black),0,9950,49 x 4
PD_000044,Melamine 8X4  18mm (Cherry),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4  18mm (Cherry),0,9950,50 x 4
PD_000045,Melamine  8X4  18mm (Beach),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine  8X4  18mm (Beach),0,9950,51 x 4
PD_000046,Melamine Board 8X4   6mm (Cherry),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine Board 8X4   6mm (Cherry),0,4400,52 x 4
PD_000047,Melamine 8X4   25mm (white),"manufactured wood substrate, which has been coated with melamine laminate. Melamine resin gives the board a highly durable and attractive finish.",Melamine 8X4   25mm (white),0,12650,53 x 4
PD_000048,MDF 8X4  3mm,,MDF 8X4  3mm,0,1450,54 x 4
PD_000049,MDF 8X4  6mm,,MDF 8X4  6mm,0,2350,55 x 4
PD_000050,MDF 8X4  9mm,,MDF 8X4  9mm,0,3400,56 x 4
PD_000051,MDF 8X4  12mm,,MDF 8X4  12mm,0,4650,57 x 4
PD_000052,MDF 8X4  15mm,,MDF 8X4  15mm,0,6350,58 x 4
