Barcode *,ItemName *,ProdDescription *,SecondName *,ProdPurchasePrice *,ProdSellPrice*,Subcategories_SCID*
84596377,Breathing Teddy Bear - Gray,,,1350,2200,Teddy Bears
84596378,Breathing Teddy Bear - Baby Pink,,,1350,2200,Teddy Bears
84596379,Breathing Teddy Bear - Blue,,,1350,2200,Teddy Bears
84596380,Breathing Teddy Bear - Dark Pink,,,1350,2200,Teddy Bears
84596381,Breathing Teddy Bear - Brown,,,1350,2200,Teddy Bears
84596382,Breathing Stitch - Blue,,,1600,2600,Teddy Bears
84596383,Breathing Stitch - Pink,,,1600,2600,Teddy Bears
84596384,Unicorn - Medium,,,1250,1950,Teddy Bears
84596385,Heart Shped Pillow,,,900,1500,Teddy Bears
84596386,Small Rabit,,,750,1250,Teddy Bears
84596387,Cat with Blue Fish,,,1000,1600,Teddy Bears
84596388,Graduation Teddy Bear - Brown,Brown,,900,1550,Teddy Bears
84596389,Yellow Pikatchu,,,890,1390,Teddy Bears
84596390,Small Stitch with Duck,,,790,1490,Teddy Bears
84596391,Small Rabit with Carrot,,,790,1490,Teddy Bears
84596392,Small Garfield,,,922,1350,Teddy Bears
84596393,Small Toothless - White,,,922,1350,Teddy Bears
84596394,Small Toothless - Black,,,922,1350,Teddy Bears
84596395,Small Stitch - Purple,,,922,1450,Teddy Bears
84596396,Small Stitch - Light Blue,,,922,1450,Teddy Bears
84596397,Small Stitch - Dark Blue,,,922,1450,Teddy Bears
84596398,Small Sitting Stitch - Blue,,,922,1450,Teddy Bears
84596399,Big Sleeping Toothless,,,3022,4000,Teddy Bears
84596400,Big Sitting Toothless,,,4922,5500,Teddy Bears
84596401,Medium Labubo,,,950,1450,Teddy Bears
84596402,Small Penguin,,,950,1350,Teddy Bears
84596403,Small Chorami,,,800,1200,Teddy Bears
85596388,Secret Labubu,,,650,1100,Teddy Bears
84596404,Large Garfield,,,5675,7500,Teddy Bears
84596405,Large Stitch with Duck,,,6175,8000,Teddy Bears
84596406,Medium Sticth with Duck,,,4175,6000,Teddy Bears
84596407,Small Angry Cat,,,1975,2600,Teddy Bears
